,data,errBoundRatio,input_size,max_quant_intl,check_radius,node_count,node_count_esti,curve_hit,curve_missed,hit_ratio,tree_size,encode_size,outlier_size,output_size,compression_ratio
0,astro.dat,1E-9, 524288,65536,0.000066,751,750,40772,24764,0.62213134765625,6760,26376,88166, 101899, 5.14517
1,astro.dat,1E-8, 524288,65536,0.000655,5397,5396,47575,17961,0.7259368896484375,48574,37850,59694, 111920, 4.68449
2,astro.dat,1E-7, 524288,65536,0.006553,19235,19234,56871,8665,0.8677825927734375,173116,54618,28349, 156633, 3.34724
3,astro.dat,1E-6, 524288,65536,0.065535,21035,21034,63463,2073,0.9683685302734375,189316,57045,6114, 145272, 3.60901
4,astro.dat,1E-5, 524288,32768,0.327669,11437,11436,65426,110,0.998321533203125,102934,49099,285, 89954, 5.82840
5,astro.dat,1E-4, 524288,2048,0.204699,3087,3086,65147,389,0.9940643310546875,27784,36596,871, 42277, 12.40126
6,astro.dat,1E-3, 524288,256,0.254999,503,502,65310,226,0.996551513671875,4528,25051,389, 20914, 25.06876
7,astro.dat,1E-2, 524288,32,0.309999,63,62,65413,123,0.9981231689453125,442,15377,168, 9587, 54.68739
8,astro.dat,1E-1, 524288,32,3.099988,15,14,65534,2,0.999969482421875,106,16418,4, 1913, 274.06587
9,blast2_p.dat,1E-9, 4631040,65536,0.065534,11,10,515004,63876,0.8896558872305141,78,153169,255173, 12381, 374.04410
10,blast2_p.dat,1E-8, 4631040,65536,0.655343,7,6,515004,63876,0.8896558872305141,50,144720,231220, 11793, 392.69397
11,blast2_p.dat,1E-7, 4631040,65536,6.553434,7,6,515004,63876,0.8896558872305141,50,144720,207266, 9922, 466.74461
12,blast2_p.dat,1E-6, 4631040,65536,65.534345,51,50,527908,50972,0.9119472084024323,358,148276,135228, 11489, 403.08469
13,blast2_p.dat,1E-5, 4631040,65536,655.343447,227,226,559791,19089,0.9670242537313433,1590,181301,50722, 25587, 180.99191
14,blast2_p.dat,1E-4, 4631040,16384,1638.283617,373,372,578878,2,0.9999965450525152,3358,169679,7, 41068, 112.76517
15,blast2_p.dat,1E-3, 4631040,1024,1022.989770,287,286,573959,4921,0.991499101713654,2584,192100,4865, 57431, 80.63659
16,blast2_p.dat,1E-2, 4631040,128,1269.987300,137,136,573959,4921,0.991499101713654,960,168412,2405, 54096, 85.60781
17,blast2_p.dat,1E-1, 4631040,32,3099.969000,37,36,578878,2,0.9999965450525152,260,157859,5, 22960, 201.70035
18,bump.dat,1E-9, 445536,65536,0.000086,15451,15450,21400,34292,0.3842562666092078,139060,42098,106877, 207346, 2.14876
