,data,errBoundMode,num_elements,data_type,errBoundRatio,input_byte_size,output_byte_size,compression_ratio,block_size_bit,min_exp
0,astro.dat,Accuracy,65536,double,9.9e-10,524288,230056,2.28,1840457,-30
1,astro.dat,Accuracy,65536,double,9.9e-9,524288,207312,2.53,1658519,-27
2,astro.dat,Accuracy,65536,double,9.9e-8,524288,184568,2.84,1476581,-24
3,astro.dat,Accuracy,65536,double,9.9e-7,524288,154248,3.4,1233997,-20
4,astro.dat,Accuracy,65536,double,9.9e-6,524288,132152,3.97,1057242,-17
5,astro.dat,Accuracy,65536,double,9.9e-5,524288,113848,4.61,910769,-14
6,astro.dat,Accuracy,65536,double,9.9e-4,524288,90680,5.78,725469,-10
7,astro.dat,Accuracy,65536,double,9.9e-3,524288,73976,7.09,591847,-7
8,astro.dat,Accuracy,65536,double,9.9e-2,524288,58800,8.92,470425,-4
9,blast2_p.dat,Accuracy,578880,double,4.3e-7,4631040,1302128,3.56,10416970,-22
10,blast2_p.dat,Accuracy,578880,double,4.3e-6,4631040,1141040,4.06,9128274,-18
11,blast2_p.dat,Accuracy,578880,double,4.3e-5,4631040,1020224,4.54,8161752,-15
12,blast2_p.dat,Accuracy,578880,double,4.3e-4,4631040,899408,5.15,7195288,-12
13,blast2_p.dat,Accuracy,578880,double,4.3e-3,4631040,738320,6.27,5906584,-8
14,blast2_p.dat,Accuracy,578880,double,4.3e-2,4631040,617504,7.5,4940056,-5
15,blast2_p.dat,Accuracy,578880,double,4.3e-1,4631040,384792,12,2997016,-2
16,blast2_p.dat,Accuracy,578880,double,4.3e0,4631040,305080,15.2,2359320,2
17,blast2_p.dat,Accuracy,578880,double,4.3e1,4631040,245296,18.9,1881024,5
18,bump.dat,Accuracy,55692,double,4.7e-11,445536,255496,1.74,2043978,-35
19,bump.dat,Accuracy,55692,double,4.7e-10,445536,227648,1.96,1821210,-31
20,bump.dat,Accuracy,55692,double,4.7e-9,445536,206760,2.15,1654134,-28
21,bump.dat,Accuracy,55692,double,4.7e-8,445536,185880,2.4,1487058,-25
22,bump.dat,Accuracy,55692,double,4.7e-7,445536,164992,2.7,1319982,-22
23,bump.dat,Accuracy,55692,double,4.7e-6,445536,137152,3.25,1097231,-18
24,bump.dat,Accuracy,55692,double,4.7e-5,445536,116288,3.83,930328,-15
25,bump.dat,Accuracy,55692,double,4.7e-4,445536,95632,4.66,765108,-12
26,bump.dat,Accuracy,55692,double,4.7e-3,445536,69376,6.42,555054,-8
27,dpot.dat,Accuracy,20694,double,1.4e-8,165552,84416,1.96,675360,-27
28,dpot.dat,Accuracy,20694,double,1.4e-7,165552,75104,2.2,600888,-23
29,dpot.dat,Accuracy,20694,double,1.4e-6,165552,68128,2.43,545034,-20
30,dpot.dat,Accuracy,20694,double,1.4e-5,165552,61144,2.71,489180,-17
31,dpot.dat,Accuracy,20694,doub,1.4e-4,165552,51832,3.19,414708,-13
